*********************************************************************
************ Scheduling algorithm: SRTF ******************************
*********************************************************************
 pid arrival CPU-burst   finish  waiting     turn  response Context
   1       0         8     11.5      3.5     11.5       0.0       1
   2       1         3      4.5      0.5      3.5       0.5       0
   3       5        26    581.5    550.5    576.5       9.5       1
   4      11         3     14.5      0.5      3.5       0.5       0
   5      15        13     28.5      0.5     13.5       0.5       0
   6      17        20    394.0    357.0    377.0     357.0       0
   7      22        16     44.5      6.5     22.5       6.5       0
   8      25        23    439.0    391.0    414.0     391.0       0
   9      28        37    645.5    580.5    617.5     580.5       0
  10      33        45    690.5    612.5    657.5     612.5       0
  11      36         9     57.0     12.0     21.0       8.5       1
  12      39        11     96.5     46.5     57.5      46.5       0
  13      46         3     49.5      0.5      3.5       0.5       0
  14      51         6     66.0      9.0     15.0       9.0       0
  15      53        15    119.5     51.5     66.5      51.5       0
  16      57         3     60.0      0.0      3.0       0.0       0
  17      62        10     76.0      4.0     14.0       4.0       0
  18      67        23    462.0    372.0    395.0     372.0       0
  19      74         8     85.5      3.5     11.5       2.0       1
  20      79         1     80.5      0.5      1.5       0.5       0
  21      84        16    270.0    170.0    186.0     170.0       0
  22      89        15    254.0    150.0    165.0     150.0       0
  23      93         8    104.5      3.5     11.5       3.5       0
  24      96        22    416.0    298.0    320.0     298.0       0
  25     102        16    286.0    168.0    184.0     168.0       0
  26     108        14    140.0     18.0     32.0      11.5       1
  27     110        23    485.0    352.0    375.0     352.0       0
  28     116        24    532.0    392.0    416.0     392.0       0
  29     121        14    218.5     83.5     97.5      73.0       1
  30     127         6    133.5      0.5      6.5       0.5       0
  31     131        19    355.0    205.0    224.0     205.0       0
  32     136         4    144.0      4.0      8.0       4.0       0
  33     142         9    153.0      2.0     11.0       2.0       0
  34     146        16    302.0    140.0    156.0     140.0       0
  35     151        10    163.0      2.0     12.0       2.0       0
  36     156         8    171.0      7.0     15.0       7.0       0
  37     158        24    556.0    374.0    398.0     374.0       0
  38     164         9    180.0      7.0     16.0       7.0       0
  39     171        19    374.0    184.0    203.0     184.0       0
  40     175         7    194.0     12.0     19.0      12.0       0
  41     180         5    185.0      0.0      5.0       0.0       0
  42     185         2    187.0      0.0      2.0       0.0       0
  43     189        18    336.0    129.0    147.0     129.0       0
  44     197        10    207.5      0.5     10.5       0.5       0
  45     201        23    508.0    284.0    307.0     284.0       0
  46     206        11    239.0     22.0     33.0      12.5       1
  47     214        16    318.0     88.0    104.0      88.0       0
  48     220         7    227.5      0.5      7.5       0.5       0
  49     224        27    608.5    357.5    384.5     357.5       0
  50     226         2    229.5      1.5      3.5       1.5       0
Average CPU burst time = 13.5 ms,   Average waiting time = 129.0 ms
Average turn around time = 142.5 ms,  Average response time = 117.5 ms
Total No. of Context Switching Performed = 7
